"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>acid-</b>"|"acidic, sour"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/acidus#Latin"" class=""extiw"" title=""wikt:acidus"">acidus</a></i>"|"acidiferous, acidity, <a href=""/wiki/Acidosis"" title=""Acidosis"">acidosis</a>, acidulation, acidulous
"|
"<b><a href=""#ac1-"">acr-</a></b>"|"height, summit, tip, top"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀκή</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>akḗ</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BA%CF%81%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄκρος"">ἄκρος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ákros</i></span>) ""high"", ""extreme"", <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄκρον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ákron</i></span>)"|"<a href=""/wiki/Acrobatics"" title=""Acrobatics"">acrobat</a>, <a href=""/wiki/Acrobatics"" title=""Acrobatics"">acrobatics</a>, <a href=""/wiki/Acrochordon"" class=""mw-redirect"" title=""Acrochordon"">acrochordon</a>, <a href=""/wiki/Acromegalia"" class=""mw-redirect"" title=""Acromegalia"">acromegalia</a>, <a href=""/wiki/Acromegaly"" title=""Acromegaly"">acromegaly</a>, <a href=""/wiki/Acromion"" title=""Acromion"">acromion</a>, <a href=""/wiki/Acronym"" title=""Acronym"">acronym</a>, <a href=""/wiki/Acrophobia"" title=""Acrophobia"">acrophobia</a>, <a href=""/wiki/Acropolis"" title=""Acropolis"">acropolis</a>, <a href=""/wiki/Acrostic"" title=""Acrostic"">acrostic</a>, <a href=""/wiki/Acroterion"" title=""Acroterion"">acroterion</a>, <a href=""/wiki/Acrotomophilia"" title=""Acrotomophilia"">acrotomophilia</a>
"|
"<b>actin-</b><sup id=""cite_ref-6"" class=""reference""><a href=""#cite_note-6"">[6]</a></sup>"|"beam, ray"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BA%CF%84%CE%AF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀκτίς"">ἀκτίς, ἀκτῖνος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aktís, aktînos</i></span>)"|"<a href=""/wiki/Actinic"" class=""mw-redirect"" title=""Actinic"">actinic</a>, <a href=""/wiki/Actinism"" title=""Actinism"">actinism</a>, <a href=""/wiki/Actinium"" title=""Actinium"">actinium</a>, <a href=""/wiki/Actinocerida"" title=""Actinocerida"">actinocerid</a>, actinodrome, actinoid, actinomere, <a href=""/wiki/Actinometer"" title=""Actinometer"">actinometer</a>, <a href=""/wiki/Actinomorphic"" class=""mw-redirect"" title=""Actinomorphic"">actinomorphic</a>, actinomyces, <a href=""/wiki/Actinophryid"" title=""Actinophryid"">actinophryid</a>, actinopod, Actinopterygii, actinotherapy, <a href=""/wiki/Actinozoa"" title=""Actinozoa"">actinozoa</a>
"|
"<b>acu-</b>, <b>acut-</b>"|"sharp, pointed"|"Latin"|"<i><i lang=""la"" title=""Latin language text"">acutus</i></i>, past participle of <i><i lang=""la"" title=""Latin language text"">acuere</i></i> ""to sharpen"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/acus#Latin"" class=""extiw"" title=""wikt:acus"">acus</a></i> ""needle"""|"acerose, <a href=""/wiki/Acupuncture"" title=""Acupuncture"">acupuncture</a>, acumen, acute, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/acutifoliate#English"" class=""extiw"" title=""wikt:acutifoliate"">acutifoliate</a></i>
"|
"<b>ad-</b>, <b>a-</b>, <b>ac-</b>, <b>af-</b>, <b>ag-</b>, <b>al-</b>, <b>am-</b>, <b>an-</b>, <b>ap-</b>, <b>ar-</b>, <b>as-</b>, <b>at-</b><sup id=""cite_ref-7"" class=""reference""><a href=""#cite_note-7"">[7]</a></sup>"|"movement to or toward; in addition to"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ad#Latin"" class=""extiw"" title=""wikt:ad"">ad</a></i> ""to"", ""toward"""|"<b>ac</b>cept, <b>ac</b>curate, <b>ad</b>apt, <b>ad</b>dition, <b>ad</b>dress, <b>ad</b>ept, <b>ad</b>herent, <b>ad</b>hesive, <b>ad</b>just, <b>ad</b>mit, <b>ad</b>monish, <b>ad</b>vertisement, <b>af</b>fect, <b>ag</b>glomerate, <b>ag</b>gregate, <b>ag</b>gression, <b>al</b>lege, <b>al</b>lude, <a href=""/wiki/Ammunition"" title=""Ammunition""><b>am</b>munition</a>, <b>an</b>nectent, <b>ap</b>proximate, <b>ar</b>reption, <b>ar</b>ride, <b>ar</b>rogant, <b>a</b>scend, <b>as</b>sault, <b>as</b>similate, <b>at</b>tend, <b>at</b>tract
"|
"<b>aden-</b><sup id=""cite_ref-8"" class=""reference""><a href=""#cite_note-8"">[8]</a></sup>"|"gland"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%B4%CE%AE%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:ἀδήν"">ἀδήν, ἀδένος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>adḗn, adénos</i></span>)"|"<a href=""/wiki/Adenocarcinoma"" title=""Adenocarcinoma"">adenocarcinoma</a>, <a href=""/wiki/Adenoid"" title=""Adenoid"">adenoid</a>, <a href=""/wiki/Adenoidectomy"" title=""Adenoidectomy"">adenoidectomy</a>, adenology, <a href=""/wiki/Adenoma"" title=""Adenoma"">adenoma</a>, <a href=""/wiki/Adenomyosis"" title=""Adenomyosis"">adenomyosis</a>, <a href=""/wiki/Adenosis"" class=""mw-redirect"" title=""Adenosis"">adenosis</a>
"|
"<b>adip-</b>"|"fat"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/adeps#Latin"" class=""extiw"" title=""wikt:adeps"">adeps, adipis</a></i> ""fat"""|"adipocellular, <a href=""/wiki/Adipose"" class=""mw-redirect"" title=""Adipose"">adipose</a>
"|
"<b>aer-</b> (ΑΕΡ)<sup id=""cite_ref-9"" class=""reference""><a href=""#cite_note-9"">[9]</a></sup>"|"lift, raise"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%B5%CE%AF%CF%81%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:ἀείρω"">ἀείρειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aeírein</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀορτή</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aortḗ</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">αἰρόμενον</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀϝείρω</span>"|"aorta, aortic, endaortitis, meteor, meteorology
"|
"<b>aer-</b><sup id=""cite_ref-10"" class=""reference""><a href=""#cite_note-10"">[10]</a></sup>"|"air, atmosphere"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%AE%CF%81#Ancient_Greek"" class=""extiw"" title=""wikt:ἀήρ"">ἀήρ, ἀέρος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aḗr, aéros</i></span>) ""air"""|"aerobic, aerodynamic, <a href=""/wiki/Aeronautics"" title=""Aeronautics"">aeronautics</a>, <a href=""/wiki/Aeroplane"" class=""mw-redirect"" title=""Aeroplane"">aeroplane</a>, aerorrhachia, aerosol, aerotitis
"|
"<b>aesth-</b>"|"feeling, sensation"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BC%B0%CF%83%CE%B8%CE%B7%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:αἰσθητός"">αἰσθητός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aisthētós</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BC%B0%CF%83%CE%B8%CE%B7%CF%84%CE%B9%CE%BA%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:αἰσθητικός"">αἰσθητικός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aisthētikós</i></span>) ""of sense perception"" from <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BC%B0%CF%83%CE%B8%CE%AC%CE%BD%CE%BF%CE%BC%CE%B1%CE%B9#Ancient_Greek"" class=""extiw"" title=""wikt:αἰσθάνομαι"">αἰσθάνεσθαι</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aisthánesthai</i></span>) ""to perceive"""|"aesthesia, aesthesis, aesthete, <a href=""/wiki/Aesthetics"" title=""Aesthetics"">aesthetics</a>, <a href=""/wiki/Anaesthetic"" class=""mw-redirect"" title=""Anaesthetic"">anaesthetic</a>, <a href=""/wiki/Synesthesia"" title=""Synesthesia"">synesthesia</a>
"|
"<b>aether-</b>, <b>ether-</b>"|"upper pure, bright air"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BC%B4%CE%B8%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:αἴθω"">αἴθειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aíthein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BC%B0%CE%B8%CE%AE%CF%81#Ancient_Greek"" class=""extiw"" title=""wikt:αἰθήρ"">αἰθήρ</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aithḗr</i></span>)"|"ether, ethereal, etheric, <a href=""/wiki/Hypaethros"" class=""mw-redirect"" title=""Hypaethros"">hypaethros</a>
"|
"<b>aev-</b>, <b>ev-</b>"|"age"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/aevum#Latin"" class=""extiw"" title=""wikt:aevum"">aevum</a></i>"|"age, coeval, eon, eternal, longevity, medieval, primeval
"|
"<b>ag-</b>, <b>-ig-</b>, <b>act-</b>"|"do, go, move"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ago#Latin"" class=""extiw"" title=""wikt:ago"">agere</a></i>, <i><i lang=""la"" title=""Latin language text"">actus</i></i>"|"act, action, activation, activity, actor, agenda, agent, agile, agitate, <a href=""/wiki/Ambiguous"" class=""mw-redirect"" title=""Ambiguous"">ambiguous</a>, castigate, cogent, cogitate, cogitation, deactivate, excogitate, mitigate, navigate, proactive, react, transaction
"|
"<b>ag-</b><sup id=""cite_ref-11"" class=""reference""><a href=""#cite_note-11"">[11]</a></sup>"|"lead"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%B3%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:ἄγω"">ἄγειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ágein</i></span>) (cognate with Latin <i>agere</i>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%B3%CF%89%CE%B3%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀγωγός"">ἀγωγός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>agōgós</i></span>)"|"agony, antagonist, antagonize, demagogue, pedagogue, pedagogy, strategy, synagogue
"|
"<b>agap-</b><sup id=""cite_ref-12"" class=""reference""><a href=""#cite_note-12"">[12]</a></sup>"|"love"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%B3%CE%AC%CF%80%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:ἀγάπη"">ἀγάπη</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>agápē</i></span>)"|"<a href=""/wiki/Agape"" title=""Agape"">agape</a>
"|
"<b>agr-</b><sup id=""cite_ref-13"" class=""reference""><a href=""#cite_note-13"">[13]</a></sup>"|"<a href=""/wiki/Field_(agriculture)"" title=""Field (agriculture)"">field</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%B3%CF%81%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀγρός"">ἀγρός, ἀγροῦ</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>agrós, agroû</i></span>)"|"agronomist, <a href=""/wiki/Agronomy"" title=""Agronomy"">agronomy</a>
"|
"<b>agri-</b>, <b>-egri-</b>"|"field"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ager#Latin"" class=""extiw"" title=""wikt:ager"">ager, agris</a></i> ""field, country"""|"<a href=""/wiki/Agriculture"" title=""Agriculture"">agriculture</a>, peregrine
"|
"<b>ailur-</b><sup id=""cite_ref-14"" class=""reference""><a href=""#cite_note-14"">[14]</a></sup>"|"<a href=""/wiki/Cat"" title=""Cat"">cat</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BC%B4%CE%BB%CE%BF%CF%85%CF%81%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:αἴλουρος"">αἴλουρος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aílouros</i></span>)"|"<a href=""/wiki/Ailuroedus"" title=""Ailuroedus"">Ailuroedus</a>, <a href=""/wiki/Ailuromancy"" title=""Ailuromancy"">ailuromancy</a>, ailurophile, ailurophilia, <a href=""/wiki/Ailurophobia"" title=""Ailurophobia"">ailurophobia</a>
"|
"<b>alac-</b>"|"cheerful"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/alacer#Latin"" class=""extiw"" title=""wikt:alacer"">alacer</a></i>"|"alacrity, allegro
"|
"<b>alb-</b>"|"dull <a href=""/wiki/White"" title=""White"">white</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/albus#Latin"" class=""extiw"" title=""wikt:albus"">albus</a></i>"|"<a href=""/wiki/Albedo"" title=""Albedo"">albedo</a>, <a href=""/wiki/Albino"" class=""mw-redirect"" title=""Albino"">albino</a>, <a href=""/wiki/Albumen"" class=""mw-redirect"" title=""Albumen"">albumen</a>
"|
"<b>alcyon-</b><sup id=""cite_ref-15"" class=""reference""><a href=""#cite_note-15"">[15]</a></sup>"|"<a href=""/wiki/Kingfisher"" title=""Kingfisher"">kingfisher</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BB%CE%BA%CF%85%CF%8E%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:ἀλκυών"">ἀλκυών, ἀλκυόνος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>alkuṓn, alkuónos</i></span>)"|"<a href=""/wiki/Halcyon_(genus)"" title=""Halcyon (genus)"">Halcyon</a>, halcyon
"|
"<b>ale-</b><sup id=""cite_ref-16"" class=""reference""><a href=""#cite_note-16"">[16]</a></sup> (ΑΛ)"|"wheat flour"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀλέω</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄλευρον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>áleuron</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀλείατα</span>"|"<a href=""/wiki/Aleuromancy"" title=""Aleuromancy"">aleuromancy</a>, <a href=""/wiki/Aleurone"" title=""Aleurone"">aleurone</a>, aleuronic
"|
"<b>alg-</b><sup id=""cite_ref-17"" class=""reference""><a href=""#cite_note-17"">[17]</a></sup>"|"pain"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BB%CE%B3%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄλγος"">ἄλγος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>álgos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀλγεινός</span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BB%CE%B3%CE%AD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:ἀλγέω"">ἀλγεῖν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>algeîn</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BB%CE%B3%CE%B7%CF%83%CE%B9%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄλγησις"">ἄλγησις</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>álgēsis</i></span>)"|"<a href=""/wiki/Analgesic"" title=""Analgesic"">analgesic</a>, <a href=""/wiki/Arthralgia"" title=""Arthralgia"">arthralgia</a>, <a href=""/wiki/Neuralgia"" title=""Neuralgia"">neuralgia</a>, <a href=""/wiki/Nostalgia"" title=""Nostalgia"">nostalgia</a>
"|
"<b>ali-</b>, <b>alter-</b>"|"other"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/alius#Latin"" class=""extiw"" title=""wikt:alius"">alius</a></i>"|"alias, alibi, alien, alter, alternate, altruism
"|
"<b>all-</b><sup id=""cite_ref-18"" class=""reference""><a href=""#cite_note-18"">[18]</a></sup>"|"other"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BB%CE%BB%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄλλος"">ἄλλος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>állos</i></span>)"|"allegory, allogenic, allograph, allophone, parallactic, parallax
"|
"<b>allel-</b><sup id=""cite_ref-19"" class=""reference""><a href=""#cite_note-19"">[19]</a></sup>"|"one another"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BB%CE%BB%CE%AE%CE%BB%CF%89%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:ἀλλήλων"">ἀλλήλων</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>allḗlōn</i></span>)"|"allele, allelomorph, allelotaxis, parallel, parallelism, <a href=""/wiki/Parallelogon"" title=""Parallelogon"">parallelogon</a>, <a href=""/wiki/Parallelogram"" title=""Parallelogram"">parallelogram</a>
"|
